canonical_email,business_name_clean,region,business_size,annual_revenue_band,years_in_operation,years_in_operation_band,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag,Open Comment,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,business_size_segment,revenue_segment,experience_segment,pricing_method_segment,customer_focus_segment,weakest_driver_segment,region_segment
owner@blueridgemonogramscomp.example,Blue Ridge Monograms Company,South,2-5 employees,Under $50k,4,2-5,1,Mixed services,Contract/B2B,Stitch-count based,When costs change,2,2,1,0,0,5,Pricing Blind Spots,False,False,True,True,Most customers compare us by stitch count.,1,1,1,1,1,0,0,0,0,0,2-5 employees,Under $100k,Established (4-10),Stitch-count based,B2B,Capacity Pressure,South
contact@threadcreativecollecti.example,Thread Creative Collective #1712,Northeast,2-5 employees,$500k-$1M,1,<2,3,Decorated apparel,Mostly consumers,Informal/custom quote,Rarely/never,2,1,0,1,0,4,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,1,1,0,1,0,0,0,1,0,0,2-5 employees,$500k+,Newcomer (0-3 yrs),Informal/custom quote,Consumer,Intended Profit,Northeast
contact@magnoliaembroidery1629.example,Magnolia Embroidery #1629,South,Solo owner/operator,Prefer not to say,7,6-10,3,Decorated apparel,Schools/teams,Stitch-count based,When costs change,3,3,2,2,3,13,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,2,1,2,1,1,1,1,1,1,2,Solo owner/operator,Unknown,Established (4-10),Stitch-count based,Mixed,Intended Profit,South
office@hoopcustoms.example,Hoop Customs,Unknown,6-10 employees,$50k-$100k,14,11-20,5,Mixed services,Mostly consumers,Stitch-count based,Annually,3,4,4,2,2,15,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,1,2,2,2,2,1,1,1,1,6-10 employees,Under $100k,Veteran (11-20),Stitch-count based,Consumer,Capacity Pressure,Unknown
owner@brightcustomscollectiv.example,Bright Customs Collective,Midwest,2-5 employees,Under $50k,9,6-10,2,Team/school spiritwear,Corporate/commercial,Cost-plus,When costs change,2,1,3,2,2,10,Partial Pricing System,False,True,False,False,Rush jobs are where we get into trouble.,1,1,0,1,1,2,1,1,1,1,2-5 employees,Under $100k,Established (4-10),Cost-plus,B2B,Real Labor,Midwest
quotes@luckydesignsgroup.example,Lucky Designs Group,South,2-5 employees,$100k-$250k,9,6-10,6,Custom embroidery,Small business/local orgs,Stitch-count based,When costs change,1,0,1,0,2,4,Pricing Blind Spots,False,True,True,True,,1,0,0,0,0,1,0,0,1,1,2-5 employees,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Real Labor,South
quotes5@northstarapparelstudio.example,North Star Apparel Studio #1446,Midwest,11-25 employees,$100k-$250k,2,2-5,10,Decorated apparel,Contract/B2B,Informal/custom quote,When costs change,2,2,2,2,2,10,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,1,1,1,1,1,1,1,1,1,11-25 employees,$100k-$500k,Newcomer (0-3 yrs),Informal/custom quote,B2B,Production Cost,Midwest
owner6@magnolialogoshopshop16.example,Magnolia Logo Shop Shop #1657,West,6-10 employees,$250k-$500k,13,11-20,6,Decorated apparel,Small business/local orgs,Hybrid/job costing,Annually,3,2,2,3,3,13,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,2,1,1,1,1,2,1,2,1,6-10 employees,$100k-$500k,Veteran (11-20),Hybrid/job costing,Mixed,Real Labor,West
owner@urbandecoratedgoodscom.example,Urban Decorated Goods Company,West,11-25 employees,$250k-$500k,20,11-20,15,Unknown,Mixed,Value-based,Annually,4,4,4,2,4,18,Strong Pricing System,True,False,False,False,,2,2,2,2,2,2,1,1,2,2,11-25 employees,$100k-$500k,Veteran (11-20),Value-based,Mixed,Capacity Pressure,West
hello4@luckycustomscollective.example,Lucky Customs Collective,West,2-5 employees,$250k-$500k,5,2-5,10,Contract embroidery,Contract/B2B,Cost-plus,Before every quote,4,3,2,2,2,13,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,2,2,2,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Established (4-10),Cost-plus,B2B,Intended Profit,West
sales3@sunrisedigitizingllc.example,Sunrise Digitizing Llc,Midwest,2-5 employees,$250k-$500k,2,2-5,8,Promotional products,Schools/teams,Cost-plus,Quarterly,4,2,3,2,2,13,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,2,2,1,1,1,2,1,1,1,1,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Cost-plus,Mixed,Real Labor,Midwest
quotes@northstarprintstitchco.example,North Star Print & Stitch Collective #1621,Northeast,Solo owner/operator,Unknown,4,2-5,1,Mixed services,Corporate/commercial,Unknown,Annually,2,1,2,2,1,8,Partial Pricing System,False,True,False,False,Pricing is the hardest part of the business.,1,1,1,0,1,1,1,1,1,0,Solo owner/operator,Unknown,Established (4-10),Unknown,B2B,Real Labor,Northeast
quotes@ironcreative1380.example,Iron Creative #1380,West,Solo owner/operator,$100k-$250k,5,2-5,2,Mixed services,Contract/B2B,Informal/custom quote,Before every quote,2,2,0,1,0,5,Pricing Blind Spots,False,False,True,True,,1,1,1,1,0,0,1,0,0,0,Solo owner/operator,$100k-$500k,Established (4-10),Informal/custom quote,B2B,Intended Profit,West
owner3@redbarndesignsllc1409.example,Red Barn Designs Llc #1409,Midwest,Solo owner/operator,$100k-$250k,6,6-10,1,Custom embroidery,Small business/local orgs,Competitor-based,When costs change,2,2,2,0,2,8,Partial Pricing System,False,False,False,True,Most customers compare us by stitch count.,1,1,1,1,1,1,0,0,1,1,Solo owner/operator,$100k-$500k,Established (4-10),Competitor-based,Mixed,Capacity Pressure,Midwest
sales4@bobbinteamweargroup154.example,Bobbin Teamwear Group #1543,Northeast,Unknown,Under $50k,12,11-20,1,Promotional products,Contract/B2B,Cost-plus,Annually,4,2,4,1,3,14,Partial Pricing System,False,False,False,True,,2,2,1,1,2,2,1,0,1,2,Unknown,Under $100k,Veteran (11-20),Cost-plus,B2B,Capacity Pressure,Northeast
info5@blueridgecreativellc.example,Blue Ridge Creative Llc,Midwest,2-5 employees,$250k-$500k,0,<2,4,Custom embroidery,Small business/local orgs,Cost-plus,Unknown,2,2,2,1,2,9,Partial Pricing System,False,False,False,True,,1,1,1,1,1,1,1,0,1,1,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Cost-plus,Mixed,Capacity Pressure,Midwest
office@summitteamweargroup.example,Summit Teamwear Group,Midwest,2-5 employees,$500k-$1M,20,11-20,3,Custom embroidery,Small business/local orgs,Competitor-based,Unknown,4,3,2,2,3,14,Partial Pricing System,False,False,False,False,,2,2,1,2,1,1,1,1,2,1,2-5 employees,$500k+,Veteran (11-20),Competitor-based,Mixed,Intended Profit,Midwest
hello@summitdigitizingcompan.example,Summit Digitizing Company #1574,Canada/Other,6-10 employees,$500k-$1M,20,11-20,8,Custom embroidery,Mixed,Stitch-count based,When costs change,4,4,3,4,3,18,Strong Pricing System,True,False,False,False,,2,2,2,2,1,2,2,2,1,2,6-10 employees,$500k+,Veteran (11-20),Stitch-count based,Mixed,Intended Profit,Canada/Other
info1@goldenapparelllc.example,Golden Apparel Llc,Canada/Other,2-5 employees,$50k-$100k,0,<2,1,Custom embroidery,Mixed,Competitor-based,When costs change,3,2,2,1,1,9,Partial Pricing System,False,False,False,True,,2,1,1,1,1,1,1,0,1,0,2-5 employees,Under $100k,Newcomer (0-3 yrs),Competitor-based,Mixed,Capacity Pressure,Canada/Other
contact2@lakesideapparelllc.example,Lakeside Apparel Llc,West,2-5 employees,$500k-$1M,11,11-20,6,Decorated apparel,Mixed,Cost-plus,When costs change,2,2,1,2,1,8,Partial Pricing System,False,False,True,False,Most customers compare us by stitch count.,1,1,1,1,0,1,1,1,0,1,2-5 employees,$500k+,Veteran (11-20),Cost-plus,Mixed,Intended Profit,West
sales@sunrisestudiocollectiv.example,Sunrise Studio Collective #1674,West,2-5 employees,$250k-$500k,8,6-10,15,Custom embroidery,Schools/teams,Stitch-count based,Before every quote,4,3,4,3,4,18,Strong Pricing System,True,False,False,False,,2,2,2,1,2,2,2,1,2,2,2-5 employees,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Real Labor,West
sales@bobbinlogoshopllc.example,Bobbin Logo Shop Llc,South,6-10 employees,$500k-$1M,20,11-20,2,Custom embroidery,Corporate/commercial,Stitch-count based,Before every quote,3,2,1,1,2,9,Partial Pricing System,False,False,True,True,,2,1,1,1,1,0,1,0,1,1,6-10 employees,$500k+,Veteran (11-20),Stitch-count based,B2B,Intended Profit,South
contact@redbarndecoratedgoodsg.example,Red Barn Decorated Goods Group #1601,Midwest,2-5 employees,$100k-$250k,8,6-10,3,Unknown,Small business/local orgs,Cost-plus,Annually,3,3,4,1,4,15,Strong Pricing System,True,False,False,True,We are trying to stop undercharging.,1,2,2,1,2,2,0,1,2,2,2-5 employees,$100k-$500k,Established (4-10),Cost-plus,Mixed,Capacity Pressure,Midwest
quotes@riverstudio.example,River Studio,South,2-5 employees,Prefer not to say,20,11-20,3,Custom embroidery,Corporate/commercial,Hybrid/job costing,Annually,3,3,3,2,2,13,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,1,2,1,2,2,1,1,1,1,1,2-5 employees,Unknown,Veteran (11-20),Hybrid/job costing,B2B,Capacity Pressure,South
quotes@bobbinteamwearllc.example,Bobbin Teamwear Llc,West,Solo owner/operator,$100k-$250k,13,11-20,2,Team/school spiritwear,Unknown,Cost-plus,Annually,3,3,2,2,3,13,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,1,2,1,2,1,1,1,1,2,1,Solo owner/operator,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Intended Profit,West
office6@sunriseprintstitchcoll.example,Sunrise Print & Stitch Collective #1419,South,Solo owner/operator,$100k-$250k,3,2-5,1,Decorated apparel,Corporate/commercial,Stitch-count based,Unknown,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True,Pricing is the hardest part of the business.,0,0,0,0,0,0,0,0,0,0,Solo owner/operator,$100k-$500k,Newcomer (0-3 yrs),Stitch-count based,B2B,Production Cost,South
owner2@maplelogoshop1492.example,Maple Logo Shop #1492,Canada/Other,2-5 employees,$100k-$250k,13,11-20,10,Contract embroidery,Contract/B2B,Cost-plus,Annually,3,2,3,4,3,15,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,1,1,1,1,2,2,2,1,2,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,B2B,Real Labor,Canada/Other
office1@willowneedleworkscompa.example,Willow Needleworks Company,South,Solo owner/operator,$50k-$100k,19,11-20,2,Team/school spiritwear,Mixed,Cost-plus,Annually,3,4,2,3,3,15,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,1,2,2,2,1,1,1,2,1,2,Solo owner/operator,Under $100k,Veteran (11-20),Cost-plus,Mixed,Intended Profit,South
sales2@cedarlogoshopcompany.example,Cedar Logo Shop Company,Northeast,2-5 employees,$500k-$1M,19,11-20,12,Custom embroidery,Mixed,Cost-plus,When costs change,3,4,3,4,4,18,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,1,2,2,2,1,2,2,2,2,2-5 employees,$500k+,Veteran (11-20),Cost-plus,Mixed,Production Cost,Northeast
office@lakesidedigitizing.example,Lakeside Digitizing,Northeast,Solo owner/operator,$50k-$100k,4,2-5,1,Custom embroidery,Mixed,Stitch-count based,Annually,3,2,2,0,1,8,Partial Pricing System,False,False,False,True,,2,1,1,1,1,1,0,0,1,0,Solo owner/operator,Under $100k,Established (4-10),Stitch-count based,Mixed,Capacity Pressure,Northeast
hello@willowwearablesshop151.example,Willow Wearables Shop #1510,Northeast,2-5 employees,$100k-$250k,38,21+,30,Custom embroidery,Contract/B2B,Cost-plus,Quarterly,4,4,3,4,4,19,Strong Pricing System,True,False,False,False,,2,2,2,2,1,2,2,2,2,2,2-5 employees,$100k-$500k,Legacy (21+),Cost-plus,B2B,Intended Profit,Northeast
contact2@urbandecoratedgoodscol.example,Urban Decorated Goods Collective,South,2-5 employees,$100k-$250k,6,6-10,2,Decorated apparel,Mostly consumers,Competitor-based,Rarely/never,0,1,1,1,1,4,Pricing Blind Spots,False,True,True,True,,0,0,1,0,0,1,0,1,1,0,2-5 employees,$100k-$500k,Established (4-10),Competitor-based,Consumer,Production Cost,South
sales@ironcreative.example,Iron Creative,West,2-5 employees,$250k-$500k,29,21+,10,Custom embroidery,Mostly consumers,Stitch-count based,Annually,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,,2,2,2,2,2,2,2,2,2,2,2-5 employees,$100k-$500k,Legacy (21+),Stitch-count based,Consumer,Production Cost,West
contact@sunrisethreadsllc.example,Sunrise Threads Llc,Midwest,2-5 employees,$100k-$250k,19,11-20,8,Custom embroidery,Schools/teams,Cost-plus,Annually,4,4,4,3,3,18,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,2,2,2,2,1,2,1,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Capacity Pressure,Midwest
sales@ironthreadscompany.example,Iron Threads Company,Midwest,2-5 employees,$100k-$250k,2,2-5,8,Mixed services,Mixed,Value-based,Annually,3,4,2,4,4,17,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,1,2,2,1,1,2,2,2,2,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Value-based,Mixed,Intended Profit,Midwest
hello@mainstreetthreads1602.example,Main Street Threads #1602,South,2-5 employees,$250k-$500k,9,6-10,2,Contract embroidery,Mixed,Unknown,Rarely/never,0,1,0,0,0,1,Pricing Blind Spots,False,True,True,True,Rush jobs are where we get into trouble.,0,0,1,0,0,0,0,0,0,0,2-5 employees,$100k-$500k,Established (4-10),Unknown,Mixed,Production Cost,South
quotes@redbarnlogoshopcompany.example,Red Barn Logo Shop Company #1416,South,Solo owner/operator,Unknown,13,11-20,2,Mixed services,Small business/local orgs,Cost-plus,Annually,4,2,3,4,4,17,Strong Pricing System,True,False,False,False,,2,2,1,1,2,1,2,2,2,2,Solo owner/operator,Unknown,Veteran (11-20),Cost-plus,Mixed,Real Labor,South
quotes@prairieembroidery.example,Prairie Embroidery,Northeast,Solo owner/operator,$50k-$100k,12,11-20,1,Custom embroidery,Small business/local orgs,Hybrid/job costing,Annually,3,4,4,2,2,15,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,1,2,2,2,2,2,1,1,1,1,Solo owner/operator,Under $100k,Veteran (11-20),Hybrid/job costing,Mixed,Capacity Pressure,Northeast
info@bobbinthreadsgroup1691.example,Bobbin Threads Group #1691,South,2-5 employees,$50k-$100k,0,<2,1,Contract embroidery,Mixed,Cost-plus,When costs change,3,4,4,4,3,18,Strong Pricing System,True,False,False,False,,1,2,2,2,2,2,2,2,2,1,2-5 employees,Under $100k,Newcomer (0-3 yrs),Cost-plus,Mixed,Production Cost,South
info@blueridgedecoratedgood.example,Blue Ridge Decorated Goods Collective #1412,Northeast,Solo owner/operator,$50k-$100k,4,2-5,3,Contract embroidery,Schools/teams,Informal/custom quote,When costs change,1,0,0,0,1,2,Pricing Blind Spots,False,True,True,True,,1,0,0,0,0,0,0,0,1,0,Solo owner/operator,Under $100k,Established (4-10),Informal/custom quote,Mixed,Real Labor,Northeast
office@brightdigitizingcollec.example,Bright Digitizing Collective,Midwest,6-10 employees,$100k-$250k,4,2-5,4,Custom embroidery,Mostly consumers,Cost-plus,When costs change,3,4,3,3,4,17,Strong Pricing System,True,False,False,False,,1,2,2,2,1,2,1,2,2,2,6-10 employees,$100k-$500k,Established (4-10),Cost-plus,Consumer,Production Cost,Midwest
hello@crownneedleworksstudio.example,Crown Needleworks Studio,Northeast,2-5 employees,$250k-$500k,31,21+,20,Custom embroidery,Small business/local orgs,Cost-plus,Before every quote,4,3,2,4,4,17,Strong Pricing System,True,False,False,False,,2,2,2,1,1,1,2,2,2,2,2-5 employees,$100k-$500k,Legacy (21+),Cost-plus,Mixed,Intended Profit,Northeast
sales@cedarbrandingshop1713.example,Cedar Branding Shop #1713,Midwest,Solo owner/operator,$100k-$250k,19,11-20,1,Promotional products,Corporate/commercial,Stitch-count based,Quarterly,4,4,4,3,4,19,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,2,2,2,2,2,1,2,2,2,Solo owner/operator,$100k-$500k,Veteran (11-20),Stitch-count based,B2B,Capacity Pressure,Midwest
contact6@oakembroiderycollectiv.example,Oak Embroidery Collective,Midwest,Solo owner/operator,$100k-$250k,7,6-10,4,Decorated apparel,Schools/teams,Stitch-count based,Unknown,3,3,3,3,2,14,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,1,2,1,2,1,2,1,2,1,1,Solo owner/operator,$100k-$500k,Established (4-10),Stitch-count based,Mixed,End Customer Value,Midwest
owner@riverthreadscollective.example,River Threads Collective,Midwest,Solo owner/operator,$100k-$250k,7,6-10,1,Contract embroidery,Small business/local orgs,Stitch-count based,Annually,2,3,2,2,2,11,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,1,1,1,2,1,1,1,1,1,1,Solo owner/operator,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Production Cost,Midwest
quotes5@bobbinstitchcostudio15.example,Bobbin Stitch Co. Studio #1586,South,2-5 employees,$50k-$100k,13,11-20,1,Mixed services,Mostly consumers,Stitch-count based,When costs change,4,3,3,3,4,17,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,1,1,2,2,1,2,2,2-5 employees,Under $100k,Veteran (11-20),Stitch-count based,Consumer,Real Labor,South
owner@goldenteamwearllc.example,Golden Teamwear Llc,South,6-10 employees,$250k-$500k,13,11-20,5,Mixed services,Mostly consumers,Stitch-count based,When costs change,3,2,1,2,2,10,Partial Pricing System,False,False,True,False,We are trying to stop undercharging.,1,2,1,1,1,0,1,1,1,1,6-10 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Consumer,Intended Profit,South
info@stitchcreative.example,Stitch Creative,West,2-5 employees,Unknown,1,<2,6,Contract embroidery,Corporate/commercial,Hybrid/job costing,Annually,4,4,3,3,3,17,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,2,1,2,1,2,1,2-5 employees,Unknown,Newcomer (0-3 yrs),Hybrid/job costing,B2B,Intended Profit,West
contact0@ironcreative1399.example,Iron Creative #1399,West,Solo owner/operator,$100k-$250k,8,6-10,1,Decorated apparel,Mixed,Unknown,Unknown,4,2,3,2,2,13,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,2,1,1,2,1,1,1,1,1,Solo owner/operator,$100k-$500k,Established (4-10),Unknown,Mixed,Real Labor,West
info@needlecreative1527.example,Needle Creative #1527,Midwest,2-5 employees,$500k-$1M,15,11-20,6,Mixed services,Small business/local orgs,Stitch-count based,Before every quote,4,4,4,2,4,18,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,2,2,1,1,2,2,2-5 employees,$500k+,Veteran (11-20),Stitch-count based,Mixed,Capacity Pressure,Midwest
contact@sunriseprintstitchstud.example,Sunrise Print & Stitch Studio,Canada/Other,6-10 employees,$100k-$250k,18,11-20,5,Mixed services,Mixed,Cost-plus,Before every quote,4,4,4,3,4,19,Strong Pricing System,True,False,False,False,,2,2,2,2,2,2,2,1,2,2,6-10 employees,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Capacity Pressure,Canada/Other
sales6@rivermonogramsllc.example,River Monograms Llc,Northeast,2-5 employees,$100k-$250k,27,21+,24,Mixed services,Schools/teams,Competitor-based,Quarterly,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,2,2,2,2,2,2,2-5 employees,$100k-$500k,Legacy (21+),Competitor-based,Mixed,Production Cost,Northeast
